Cidades,Desmatamento Caatinga por ha (2023),Desmatamento Cerrado por ha (2023),Áreas Queimadas por ha (2024),Emissões de GEE (ton/ano) (2023),cluster
Patos do Piauí,5.976424516828169e-05,0.0,0.23000513925999305,13769.02228,3
Pau D'Arco do Piauí,0.0,1.6716974814938455e-06,0.0225095319123945,0.0,4
Paulistana,7.654708998937573e-05,0.0,0.7488034661165592,37311.91534,3
Pavussu,8.611686122818186e-06,0.0,0.06276986790450483,0.0,4
Pedro II,5.2836334858312476e-06,0.0,0.1620733896691182,0.0,4
Pedro Laurentino,7.5846346294631165e-06,0.0,0.19931881187248138,2734.567606,1
Picos,5.647133819749031e-05,0.00011815670326010926,0.5020958488369676,179889.524,2
Pimenteiras,1.5912049761319254e-05,7.378425949791565e-06,0.14373315098036635,0.0,4
Pio IX,4.881574341090126e-05,7.251680077735607e-06,0.18678658947859036,0.0,4
Piracuruca,9.286869717037522e-07,2.175142028319887e-05,0.2914095188726078,146619.5962,0
Piripiri,6.0403981830482255e-06,2.7872790209154115e-06,0.14663102121103586,154440.3785,1
Porto,0.0,0.0,0.05362190009995536,34791.98559,1
Porto Alegre do Piauí,0.0,0.00011815670326010926,0.43414317794807217,379289.45196900005,2
Prata do Piauí,0.0,0.00011815670326010926,0.0004405778837016673,12244.54677,2
Queimada Nova,6.545272637877337e-05,7.272665545139395e-05,0.5300470870030366,48667.52924,3
Redenção do Gurguéia,0.0,1.3615744145691755e-07,0.1039420270379121,303533.4874,1
Regeneração,1.9179730860426702e-06,0.00011815670326010926,0.22331280302975814,214020.9351,2
Riacho Frio,1.756283667732746e-06,0.0,0.058176536230330755,379289.45196900005,1
Ribeira do Piauí,9.28414317729059e-06,0.0,0.19552770971052238,0.0,4
Ribeiro Gonçalves,0.0,8.711938922743506e-06,0.3890600973578351,379289.45196900005,0
Rio Grande do Piauí,4.418565522923864e-05,0.00011815670326010926,0.4056188114530477,53054.56964,2
Santa Cruz do Piauí,1.561808127580845e-05,5.113328673080949e-05,0.1800812826735409,15373.52758,1
Santa Cruz dos Milagres,0.0,0.0,0.1482373848546721,58184.6207,1
Santa Filomena,0.0,0.0,0.2856336587709185,379289.45196900005,0
Santa Luz,0.0,0.0,0.037073286777942936,63318.19903,1
Santa Rosa do Piauí,7.654708998937573e-05,4.773296062893867e-05,0.5060050450578933,0.0,3
Santana do Piauí,8.275796841010122e-06,0.0,0.26533120921214415,17663.41505,0
Santo Antônio de Lisboa,1.6870584448954805e-05,0.0,0.26211515601397406,0.0,4
Santo Antônio dos Milagres,0.0,0.00011815670326010926,0.480820451843044,26470.18735,2
Santo Inácio do Piauí,7.276090063912236e-06,0.0,0.14157980345168322,7339.839162,1
São Braz do Piauí,9.603043707567504e-06,0.0,0.12478377908731454,0.0,4
São Félix do Piauí,0.0,2.477568220492382e-05,0.13129069761878562,36917.49827,1
São Francisco de Assis do Piauí,3.916774144814331e-05,4.391995559124173e-06,0.1373296552958983,15908.03722,1
São Francisco do Piauí,2.9147542474529446e-05,0.0,0.30675283703989187,4165.099697,0
São Gonçalo do Gurguéia,0.0,0.0,0.25480153473548195,39880.68744,0
São Gonçalo do Piauí,0.0,0.00011562689730555831,0.3910807668028838,65201.30056,2
São João da Canabrava,3.87066968828623e-05,0.0,0.14018067287222422,19159.16358,1
São João da Fronteira,6.731031646863156e-06,3.019964105243963e-05,0.04571459691522938,0.0,4
São João da Serra,0.0,0.0,0.17355093017267736,57799.0006,1
São João da Varjota,5.8308150972478556e-06,2.4811670300363033e-05,0.2294326870424078,1235.469788,1
São João do Arraial,0.0,3.8310769061332756e-05,0.08211334867394329,65012.84508,1
São João do Piauí,7.725056088489862e-06,0.0,0.25495022248816196,0.0,4
São José do Divino,0.0,0.0,0.47996223780165137,31050.12511,0
São José do Peixe,5.376118535644754e-05,0.0,0.38670630388743094,54996.95275,3
São José do Piauí,3.5623695918274424e-05,0.0,0.3676052037380775,6156.01083,0
São Julião,5.256124415556754e-05,4.122354362411496e-05,0.16324663590860528,0.0,4
São Lourenço do Piauí,6.826728720641357e-06,0.0,0.036081190581488884,0.0,4
São Luis do Piauí,2.8450285420605347e-05,0.00011815670326010926,0.31382454433655765,3255.209532,2
São Miguel da Baixa Grande,0.0,7.911527570816686e-05,0.09651630493467228,45163.00764,2
São Miguel do Fidalgo,5.900836443565875e-06,0.0,0.2936086565270627,0.0,4
São Miguel do Tapuio,9.621218635578905e-06,3.0904034838432684e-05,0.2081747085021306,95222.16592,1
São Pedro do Piauí,0.0,0.00011815670326010926,0.11213823202543759,231208.5561,2
São Raimundo Nonato,9.025838740555993e-06,1.0093103845172915e-05,0.04085090473682642,0.0,4
Sebastião Barros,1.3654352380781835e-05,0.0,0.22108153662947905,379289.45196900005,1
Sebastião Leal,0.0,0.0,0.3810668442549153,379289.45196900005,0
Sigefredo Pacheco,0.0,0.0,0.12880299796043257,49179.73613,1
Simões,3.745161725004763e-05,0.0,0.3354337835891288,0.0,4
Simplício Mendes,1.81613907948954e-05,0.0,0.06358339681241858,0.0,4
Socorro do Piauí,5.644126039897408e-06,6.823176789778618e-06,0.14093618987365034,0.0,4
Sussuapara,2.1443122118580467e-05,0.00011815670326010926,0.6435368480559861,1964.110406,2
Tamboril do Piauí,6.741023728403524e-06,3.7972978102382916e-05,0.02243280396346995,24813.07718,1
Tanque do Piauí,5.276289110493032e-06,0.00011815670326010926,0.06204187363538832,37676.10721,2
Teresina,0.0,2.0303607406922914e-05,0.1329687564014194,379289.45196900005,1
União,0.0,0.0,0.09311838133423077,192789.6118,1
Uruçuí,0.0,1.2713166859542405e-06,0.41216201181597656,379289.45196900005,0
Valença do Piauí,2.9991257548424635e-06,0.0,0.3663087210078262,79332.89056,0
Várzea Branca,2.264507835863144e-05,0.0,0.16297196672505546,0.0,4
Várzea Grande,0.0,0.0,0.3393993732369646,18077.21703,0
Vera Mendes,2.4270851000368447e-05,0.0,0.10364940024680239,3099.88025,1
Vila Nova do Piauí,2.391405379308478e-05,0.0,0.15409313847139564,1417.435456,1
Wall Ferraz,1.2202923524648056e-05,0.0,0.23287689468876996,3307.770642,1
