Cidades,PC01 - Mortalidade infantil ≤ 1 ano,PC03 - % Crianças alfabetizadas na idade certa,PC04 - % Vacinação infantil BCG,PC05 - % Atendimento do ensino infantil,cluster
Prata do Piauí,0,14.28,61.76,68.7,1
Queimada Nova,0,60.22,94.06,53.91,1
Redenção do Gurguéia,0,99.0,78.63,65.49,2
Regeneração,4,40.89,78.85,59.46,0
Riacho Frio,0,98.41,63.64,78.96,2
Ribeira do Piauí,1,57.75,77.5,62.65,1
Ribeiro Gonçalves,0,88.78,93.1,64.68,2
Rio Grande do Piauí,1,48.59,90.91,74.37,3
Santa Cruz do Piauí,0,95.61,90.91,84.43,2
Santa Cruz dos Milagres,0,52.44,120.0,69.36,3
Santa Filomena,0,27.74,91.58,61.28,1
Santa Luz,0,100.0,77.78,71.02,2
Santa Rosa do Piauí,2,61.02,81.4,62.04,1
Santana do Piauí,0,33.11,79.49,86.07,1
Santo Antônio de Lisboa,0,61.21,62.5,58.81,1
Santo Antônio dos Milagres,0,96.15,100.0,76.4,2
Santo Inácio do Piauí,0,73.42,80.0,88.98,2
São Braz do Piauí,1,87.8,62.07,78.83,2
São Félix do Piauí,0,35.56,76.92,78.29,1
São Francisco de Assis do Piauí,2,33.64,91.23,62.75,1
São Francisco do Piauí,1,58.13,62.75,68.78,1
São Gonçalo do Gurguéia,0,76.47,55.81,56.99,1
São Gonçalo do Piauí,0,94.18,59.57,56.97,2
São João da Canabrava,0,82.0,112.5,71.98,3
São João da Fronteira,0,26.94,72.22,55.01,1
São João da Serra,0,49.25,79.31,77.53,1
São João da Varjota,0,53.64,83.33,75.63,1
São João do Arraial,0,33.59,47.2,81.77,1
São João do Piauí,3,44.35,89.97,64.65,1
São José do Divino,1,100.0,100.0,83.06,2
São José do Peixe,0,76.0,51.35,72.96,2
São José do Piauí,0,93.83,105.26,38.33,3
São Julião,0,94.83,65.91,65.5,2
São Lourenço do Piauí,1,100.0,72.73,74.71,2
São Luis do Piauí,1,58.51,76.19,61.35,1
São Miguel da Baixa Grande,1,24.14,110.0,66.9,3
São Miguel do Fidalgo,0,55.79,88.0,71.61,1
São Miguel do Tapuio,1,29.86,119.31,65.34,3
São Pedro do Piauí,2,49.25,89.01,66.17,1
São Raimundo Nonato,3,68.18,65.74,61.21,1
Sebastião Barros,0,26.0,94.87,75.19,3
Sebastião Leal,0,93.5,66.67,58.7,2
Sigefredo Pacheco,1,45.16,95.65,63.95,3
Simões,2,68.51,150.64,70.01,3
Simplício Mendes,0,88.71,60.65,62.31,2
Socorro do Piauí,0,68.44,102.17,68.71,3
Sussuapara,3,27.08,78.65,67.21,1
Tamboril do Piauí,0,68.75,85.71,54.37,1
Tanque do Piauí,1,58.33,78.79,74.17,1
União,4,26.82,80.12,73.92,1
Uruçuí,6,27.78,63.52,52.91,0
Valença do Piauí,1,51.94,83.82,66.41,1
Várzea Branca,0,25.97,86.11,70.71,1
Várzea Grande,0,93.66,51.16,82.19,2
Vera Mendes,0,94.44,105.13,91.78,2
Vila Nova do Piauí,0,100.0,57.14,97.27,2
Wall Ferraz,0,37.6,65.96,84.71,1
Teresina,113,48.21,107.48,54.61,Outlier
