Cidades,Cluster,Número do Cluster,Perfil,Nome do Cluster,tx_distorcao_fundamental,taxa_escolas_por_habitante,ideb_ano_inicial,Total_alfabetização,Taxa de abandonos EF
Dom Expedito Lopes,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,8.4,0.6329113924050633,6.2,81.03,0.0
Dom Inocêncio,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,11.8,0.5459111256687411,5.5,80.71,0.0
Domingos Mourão,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,5.5,0.98159509202454,8.4,76.45,0.0
Elesbão Veloso,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,18.8,0.4409495112809583,5.8,75.14,0.3
Eliseu Martins,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,20.3,0.4569339730408956,5.3,80.56,0.2
Esperantina,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,17.0,0.4881620698071759,6.1,78.04,0.5
Fartura do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,25.8,0.5677517032551098,4.8,74.23,4.8
Flores do Piauí,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,23.1,0.9062075215224288,4.8,74.15,1.7
Floresta do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,11.0,0.4286326618088298,5.9,65.32,0.0
Floriano,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.1,0.4191114836546521,5.9,89.8,0.5
Francinópolis,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,11.4,0.8879023307436182,6.5,70.96,0.0
Francisco Ayres,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,19.2,0.6799637352674524,4.1,73.82,1.2
Francisco Macedo,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,11.4,0.3414134516899966,5.3,72.66,0.0
Francisco Santos,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.2,0.6070171178827243,5.5,77.49,1.6
Fronteiras,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,10.0,0.2924261623939955,7.0,76.33,0.3
Geminiano,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.4,0.1836547291092745,5.2,73.37,0.8
Gilbués,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,37.2,0.4590525156077855,3.7,82.65,8.6
Guadalupe,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,13.8,0.486854917234664,4.6,86.56,0.3
Guaribas,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,23.2,0.9354536950420954,4.6,73.39,0.6
Hugo Napoleão,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,8.7,0.8527572484366117,5.1,74.28,0.0
Ilha Grande,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,27.0,0.6469700237222342,4.5,80.17,0.5
Inhuma,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,6.6,0.6685385746757588,5.5,76.73,0.0
Ipiranga do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,7.1,0.9554140127388536,6.5,81.87,0.0
Isaías Coelho,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,12.3,0.3859017236943658,5.6,72.33,0.1
Itainópolis,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,10.6,0.5560704355885079,6.5,71.56,0.0
Itaueira,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,19.1,0.2906131938390003,5.1,78.78,5.0
Jacobina do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,18.2,0.7126313914127917,6.1,71.82,0.0
Jaicós,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,12.2,0.5705482969133336,5.8,68.92,0.0
Jardim do Mulato,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,22.3,1.1961722488038278,5.2,72.7,1.7
Jatobá do Piauí,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,9.9,0.4450378282153983,4.5,76.04,0.0
Jerumenha,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,33.0,0.88948187680676,4.5,80.84,1.8
Joaquim Pires,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,14.8,0.4320898746939363,6.1,73.31,0.1
Joca Marques,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,20.0,0.3707823507601038,5.2,69.18,2.3
José de Freitas,1,2,Pouca infraestrutura,Cluster 2: Pouca infraestrutura,15.7,0.5169294391315585,4.9,81.1,0.7
João Costa,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,15.4,0.3367003367003367,3.7,77.11,0.8
Juazeiro do Piauí,2,3,Contradição Educacional,Cluster 3: Contradição Educacional,16.3,0.9589566551591868,6.0,77.51,0.0
Jurema,0,1,Emergência Educacional,Cluster 1: Emergência Educacional,32.6,0.6779661016949153,4.2,71.9,1.0
